# Historical sovereign rating actions from S&P, Moody's, Fitch.
# Long format: one row per (iso3, as_of) tuple. Each row carries the
# rating from the agency that acted on that date; the other agencies'
# columns are blank (the loader treats blank as "no change", so the
# consensus_num that day reflects whichever agency moved). Sourced
# from countryeconomy.com (free, public). Append rows or run
# scripts/fetch_agency_history.py to extend coverage.
#
# Date format: YYYY-MM-DD or YYYY-MM. Outlook values: Stable, Positive,
# Negative, Watch, Under Review, RD (restricted default), or blank.
iso3,as_of,sp,moodys,fitch,sp_outlook,moodys_outlook,fitch_outlook
IND,2019-11-07,,Baa2,,,Negative,
IND,2020-06-01,,Baa3,,,Negative,
IND,2021-10-05,,Baa3,,,Stable,
IND,2024-05-29,BBB-,,,Positive,,
IND,2025-08-14,BBB,,,Stable,,
# ── South Africa ─────────────────────────────────────────────────────────
ZAF,2008-06-17,,,BBB+,,,Stable
ZAF,2008-11-09,,,BBB+,,,Negative
ZAF,2012-10-12,BBB,,,Negative,,
ZAF,2013-07-17,,Baa1,,,Negative,
ZAF,2014-06-13,BBB-,,,Stable,,
ZAF,2014-09-29,,,BBB,,,Negative
ZAF,2015-06-05,,,BBB,,,Stable
ZAF,2015-12-04,,,BBB-,,,Stable
ZAF,2015-12-15,,Baa2,,,Negative,
ZAF,2016-05-06,,Baa2,,,Negative,
ZAF,2016-11-25,,,BBB-,,,Negative
ZAF,2017-04-03,BB+,Baa2,,Negative,Watch,
ZAF,2017-06-09,,Baa3,,,Negative,
ZAF,2017-11-24,BB,,,Stable,,
ZAF,2018-06-15,,,BB+,,,Stable
ZAF,2019-11-01,,Baa3,,,Negative,
ZAF,2020-03-27,,Ba1,,,Negative,
ZAF,2020-04-03,,,BB,,,Negative
ZAF,2020-04-29,BB-,,,Stable,,
ZAF,2020-11-20,,Ba2,,BB-,Negative,Negative
ZAF,2023-03-08,BB-,,,Stable,,
ZAF,2024-11-15,BB-,,,Positive,,
ZAF,2024-12-03,,Ba2,,,Stable,
ZAF,2025-11-14,BB,,,Positive,,
# ── Brazil ───────────────────────────────────────────────────────────────
BRA,2011-05-23,BBB,,,Positive,,
BRA,2011-11-17,BBB,,,Stable,,
BRA,2014-03-24,BBB-,,,Stable,,
BRA,2014-09-09,,Baa2,,,Negative,
BRA,2015-09-09,BBB-,,,Negative,,
BRA,2015-12-09,,Baa3,,,Watch,
BRA,2015-12-16,,,BB+,,,Negative
BRA,2016-02-17,BB,,,Negative,,
BRA,2016-02-24,,Ba2,,,Negative,
BRA,2017-05-19,,,BB,,,Negative
BRA,2017-08-15,BB-,,,Negative,,
BRA,2018-01-11,BB-,,,Stable,,
BRA,2018-08-01,,,BB-,,,Stable
BRA,2023-06-14,BB-,,,Positive,,
BRA,2023-12-19,BB,,,Stable,,
BRA,2024-05-01,,Ba2,,,Positive,
BRA,2024-10-01,,Ba1,,,Positive,
BRA,2025-05-30,,Ba1,,,Stable,
