# Sovereign default / restructuring events from the Bank of Canada CRAG
# database. Auto-generated by scripts/fetch_crag_defaults.py.
# Schema matches what backend/credit_default/defaults.py expects.
iso3,start_year,end_year,event_type,instrument,source,notes
ARG,2000,2000,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ARG,2002,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ARG,1961,1961,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
ARG,1976,1976,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
ARG,1982,1993,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
ARG,2002,,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
ARG,1989,1989,default,external_bond,CRAG,BoC creditor: FC bonds
ARG,2001,,default,external_bond,CRAG,BoC creditor: FC bonds
ARG,1982,1996,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
ARG,2000,2000,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
ARG,2002,,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
ARG,1982,1982,default,domestic,CRAG,BoC creditor: LC debt
ARG,1989,1990,default,domestic,CRAG,BoC creditor: LC debt
ARG,2002,,default,domestic,CRAG,BoC creditor: LC debt
ARG,1990,1993,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ARG,1995,1995,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ARG,2003,2004,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ARG,2015,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ARM,1996,1996,paris_club,paris_club,CRAG,BoC creditor: China
ARM,1994,1998,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ARM,2000,2003,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ARM,1993,1993,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
ARM,1992,1995,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ARM,1997,2002,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ABW,1992,1992,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ABW,1994,2013,arrears,domestic,CRAG,BoC creditor: Domestic arrears
AZE,1994,1997,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AZE,2004,2004,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AZE,2020,2020,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AZE,1990,1991,arrears,domestic,CRAG,BoC creditor: Domestic arrears
AZE,1993,1998,arrears,domestic,CRAG,BoC creditor: Domestic arrears
AZE,2000,2000,arrears,domestic,CRAG,BoC creditor: Domestic arrears
AZE,2004,2004,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BHS,2017,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BGD,1985,1994,paris_club,paris_club,CRAG,BoC creditor: China
BGD,2002,2002,paris_club,paris_club,CRAG,BoC creditor: China
BGD,2008,2012,paris_club,paris_club,CRAG,BoC creditor: China
BGD,1973,2008,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BGD,2010,2014,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BGD,1975,1976,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BGD,1978,1978,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BGD,1987,1995,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BGD,2007,2007,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
